station_name,climate_id,latitude,longitude,date_month,feature_id,map,temperature_celsius_avg,temperature_celsius_min,temperature_celsius_max,temperature_celsius_yoy_avg
Nova Scotia,CBCBY,45.000075,-62.999327,2024-09,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-10,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-10,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-11,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-11,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-12,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-12,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Loretteville,EKJCH,46.813819,-71.207997,2023-01,24e21a60be4811d892e2080020a0f4c9,021L14,0.3396505376344086,-9.2,6.0,
Loretteville,EKJCH,46.813819,-71.207997,2024-01,24e21a60be4811d892e2080020a0f4c9,021L14,-1.286021505376344,-14.1,6.9,-1.6256720430107525
Loretteville,EKJCH,46.813819,-71.207997,2023-02,24e21a60be4811d892e2080020a0f4c9,021L14,-0.36279761904761904,-20.3,15.1,
Loretteville,EKJCH,46.813819,-71.207997,2024-02,24e21a60be4811d892e2080020a0f4c9,021L14,1.5327586206896553,-11.7,15.3,1.8955562397372743
Loretteville,EKJCH,46.813819,-71.207997,2023-03,24e21a60be4811d892e2080020a0f4c9,021L14,1.8779569892473118,-6.6,10.1,
Loretteville,EKJCH,46.813819,-71.207997,2024-03,24e21a60be4811d892e2080020a0f4c9,021L14,4.476881720430107,-6.3,20.5,2.5989247311827954
Loretteville,EKJCH,46.813819,-71.207997,2023-04,24e21a60be4811d892e2080020a0f4c9,021L14,9.42,-3.5,27.1,
Loretteville,EKJCH,46.813819,-71.207997,2024-04,24e21a60be4811d892e2080020a0f4c9,021L14,9.033194444444444,1.3,19.5,-0.38680555555555607
Loretteville,EKJCH,46.813819,-71.207997,2023-05,24e21a60be4811d892e2080020a0f4c9,021L14,14.378091397849461,2.8,29.5,
Loretteville,EKJCH,46.813819,-71.207997,2024-05,24e21a60be4811d892e2080020a0f4c9,021L14,16.533602150537636,8.5,29.8,2.1555107526881745
Loretteville,EKJCH,46.813819,-71.207997,2023-06,24e21a60be4811d892e2080020a0f4c9,021L14,19.639027777777777,11.9,31.9,
Loretteville,EKJCH,46.813819,-71.207997,2024-06,24e21a60be4811d892e2080020a0f4c9,021L14,20.031111111111112,11.4,32.8,0.39208333333333556
Loretteville,EKJCH,46.813819,-71.207997,2023-07,24e21a60be4811d892e2080020a0f4c9,021L14,22.52204301075269,14.8,31.0,
Loretteville,EKJCH,46.813819,-71.207997,2024-07,24e21a60be4811d892e2080020a0f4c9,021L14,22.86978319783198,12.3,31.9,0.3477401870792889
Loretteville,EKJCH,46.813819,-71.207997,2023-08,24e21a60be4811d892e2080020a0f4c9,021L14,20.572849462365593,11.8,28.8,
Loretteville,EKJCH,46.813819,-71.207997,2024-08,24e21a60be4811d892e2080020a0f4c9,021L14,21.59206989247312,11.5,31.8,1.0192204301075272
Loretteville,EKJCH,46.813819,-71.207997,2023-09,24e21a60be4811d892e2080020a0f4c9,021L14,18.896944444444443,9.6,32.2,
Loretteville,EKJCH,46.813819,-71.207997,2024-09,24e21a60be4811d892e2080020a0f4c9,021L14,19.276216968011127,8.7,28.3,0.3792725235666836
Loretteville,EKJCH,46.813819,-71.207997,2023-10,24e21a60be4811d892e2080020a0f4c9,021L14,12.84274193548387,0.5,28.0,
Loretteville,EKJCH,46.813819,-71.207997,2024-10,24e21a60be4811d892e2080020a0f4c9,021L14,12.646102150537635,2.0,23.2,-0.19663978494623535
Loretteville,EKJCH,46.813819,-71.207997,2023-11,24e21a60be4811d892e2080020a0f4c9,021L14,4.906442577030813,-3.9,13.7,
Loretteville,EKJCH,46.813819,-71.207997,2024-11,24e21a60be4811d892e2080020a0f4c9,021L14,7.574861111111111,-2.8,22.4,2.668418534080298
Loretteville,EKJCH,46.813819,-71.207997,2023-12,24e21a60be4811d892e2080020a0f4c9,021L14,3.6221774193548386,-4.2,12.9,
Loretteville,EKJCH,46.813819,-71.207997,2024-12,24e21a60be4811d892e2080020a0f4c9,021L14,0.5252688172043011,-16.2,10.8,-3.0969086021505374
